nodes	id	label	first_name	last_name	affiliation_name	created_at	updated_at	twitter_username	blog_feed_url	blog_url	alias_list	born_month	crunchbase_url	homepage_url	born_day	born_year
a-kayvon-bina	665317	person	A.	Kayvon Bina	Unaffiliated	Wed Nov 16 01:03:17 UTC 2011	Mon Nov 21 05:39:36 UTC 2011						http://www.crunchbase.com/person/a-kayvon-bina			
a-latham-staples	665318	person	A.	Latham Staples	Unaffiliated	Mon Sep 02 11:18:15 UTC 2013	Mon Sep 02 11:18:15 UTC 2013						http://www.crunchbase.com/person/a-latham-staples			
a-le-saux-narjoz	665319	person	Agnes	Le Saux-Narjoz	Unaffiliated	Thu Dec 26 07:21:54 UTC 2013	Thu Dec 26 07:23:32 UTC 2013						http://www.crunchbase.com/person/a-le-saux-narjoz			
a-m-hodes	665320	person	Alan	Hodes	ioWorld	Sun Sep 13 19:09:27 UTC 2009	Tue Mar 30 19:53:44 UTC 2010	alanhodes					http://www.crunchbase.com/person/a-m-hodes			
a-manifold	665321	person	A.	Manifold	Unaffiliated	Tue Aug 13 02:55:58 UTC 2013	Tue Aug 13 02:55:58 UTC 2013						http://www.crunchbase.com/person/a-manifold			
a-marc-gillinov	665322	person	A.	Marc Gillinov	Unaffiliated	Tue Oct 22 03:26:45 UTC 2013	Sat Nov 09 12:30:55 UTC 2013	MarcGillinov					http://www.crunchbase.com/person/a-marc-gillinov			
a-marchant	665323	person	A	Marchant	Unaffiliated	Fri Mar 25 11:55:31 UTC 2011	Mon May 23 01:01:41 UTC 2011	1st4buyers					http://www.crunchbase.com/person/a-marchant	http://www.1st4buyers.co.uk		
a-michael-albisser	665324	person	A.	Michael Albisser	Unaffiliated	Mon Jul 29 10:21:50 UTC 2013	Mon Jul 29 10:21:50 UTC 2013						http://www.crunchbase.com/person/a-michael-albisser			
a-michael-hoffman	665325	person	A.	Michael Hoffman	Unaffiliated	Mon Sep 30 11:21:12 UTC 2013	Mon Sep 30 11:21:56 UTC 2013						http://www.crunchbase.com/person/a-michael-hoffman			
a-michael-mann	665326	person	A. Michael	Mann	Unaffiliated	Sun Jan 12 07:09:55 UTC 2014	Tue Jan 14 18:16:45 UTC 2014	aMichaelMann				3	http://www.crunchbase.com/person/a-michael-mann		17	1973
a-michael-sramek	665327	person	A. Michael	Sramek	RogersCasey	Mon Dec 09 06:03:33 UTC 2013	Tue Dec 10 19:18:09 UTC 2013						http://www.crunchbase.com/person/a-michael-sramek			
a-mittal	665328	person	A	Mittal	Unaffiliated	Thu Jan 05 11:38:42 UTC 2012	Thu Jan 12 08:52:27 UTC 2012			http://dkagencies.blogspot.com		11	http://www.crunchbase.com/person/a-mittal	http://dkagencies.com	10	1975
a-mohta	665329	person	A	Mohta	Unaffiliated	Sat Dec 19 20:41:50 UTC 2009	Sat Dec 26 17:11:09 UTC 2009						http://www.crunchbase.com/person/a-mohta			
a-moret	665330	person	A.	Moret	Unaffiliated	Tue Feb 12 01:34:23 UTC 2013	Fri Jul 19 10:16:09 UTC 2013						http://www.crunchbase.com/person/a-moret			
a-nagarnes	665332	person	A.	Nagarnes	Unaffiliated	Sun Jul 29 22:58:32 UTC 2012	Mon Jul 30 08:23:39 UTC 2012						http://www.crunchbase.com/person/a-nagarnes			
a-nandvarik	665333	person	A	Nandvarik	Unaffiliated	Wed Aug 05 10:16:06 UTC 2009	Wed Aug 05 18:36:28 UTC 2009						http://www.crunchbase.com/person/a-nandvarik			
a-nobbs	665334	person	A.	Nobbs	Unaffiliated	Sun Jul 05 21:02:06 UTC 2009	Tue Jul 07 21:12:10 UTC 2009						http://www.crunchbase.com/person/a-nobbs			
a-p-de	665335	person	A.P.	de	Unaffiliated	Thu Aug 15 07:11:41 UTC 2013	Thu Aug 15 07:11:41 UTC 2013						http://www.crunchbase.com/person/a-p-de			
a-p-de-2	665336	person	A.P.	de	Unaffiliated	Thu Aug 15 07:12:58 UTC 2013	Thu Aug 15 07:12:58 UTC 2013						http://www.crunchbase.com/person/a-p-de-2			
a-pierre-yurow	665337	person	A. Pierre	Yurow	Unaffiliated	Fri Aug 03 01:07:59 UTC 2012	Sat Aug 04 14:45:04 UTC 2012						http://www.crunchbase.com/person/a-pierre-yurow			
a-prof-neo-kok-beng	665338	person	NEO	Kok Beng	Unaffiliated	Tue Oct 25 06:04:58 UTC 2011	Tue Dec 03 08:39:21 UTC 2013						http://www.crunchbase.com/person/a-prof-neo-kok-beng			
a-quin	665339	person	A	Quin	Unaffiliated	Thu Jan 16 07:23:28 UTC 2014	Thu Jan 16 07:24:01 UTC 2014						http://www.crunchbase.com/person/a-quin			
a-r-basith	665340	person	A.r	Basith	Unaffiliated	Sun Dec 15 13:18:23 UTC 2013	Mon Dec 16 00:05:27 UTC 2013						http://www.crunchbase.com/person/a-r-basith			
a-r-rahman	665341	person	A.	R. Rahman	Unaffiliated	Wed Feb 15 07:04:12 UTC 2012	Thu Feb 16 18:16:52 UTC 2012						http://www.crunchbase.com/person/a-r-rahman			
a-r-weiler	665342	person	A.R.	Weiler	Unaffiliated	Sat Jun 20 01:16:12 UTC 2009	Sat Jun 20 17:52:38 UTC 2009						http://www.crunchbase.com/person/a-r-weiler			
a-ray-chaudhuri	665343	person	A.	Ray Chaudhuri	Unaffiliated	Tue May 28 11:41:07 UTC 2013	Tue May 28 11:41:07 UTC 2013						http://www.crunchbase.com/person/a-ray-chaudhuri			
a-robert-grant	665344	person	A.	Robert Grant	Unaffiliated	Wed Dec 07 05:28:45 UTC 2011	Fri Dec 16 02:52:24 UTC 2011						http://www.crunchbase.com/person/a-robert-grant			
a-s-controls-pvt-ltd	665345	person	A. S. Controls	Pvt Ltd.	Unaffiliated	Fri Apr 05 11:47:26 UTC 2013	Fri Apr 05 11:47:28 UTC 2013						http://www.crunchbase.com/person/a-s-controls-pvt-ltd	http://www.indiamart.com/as-controls		
a-scott-anderson	665346	person	A.	Scott Anderson	Unaffiliated	Wed Mar 05 06:40:13 UTC 2014	Wed Mar 05 06:42:55 UTC 2014						http://www.crunchbase.com/person/a-scott-anderson			
a-sethuraman	665347	person	A.	Sethuraman	Unaffiliated	Wed Oct 02 23:27:25 UTC 2013	Thu Oct 03 22:25:43 UTC 2013						http://www.crunchbase.com/person/a-sethuraman			
a-shuanise-washington	665348	person	A.	Shuanise Washington	Unaffiliated	Tue Oct 08 11:18:23 UTC 2013	Tue Oct 08 11:19:04 UTC 2013						http://www.crunchbase.com/person/a-shuanise-washington			
a-shukla	665349	person	A	Shukla	Unaffiliated	Tue Oct 19 03:00:04 UTC 2010	Fri Oct 22 23:02:32 UTC 2010						http://www.crunchbase.com/person/a-shukla			
a-speers	665350	person	A	Speers	Unaffiliated	Thu Jul 11 15:28:12 UTC 2013	Thu Jul 11 23:06:09 UTC 2013						http://www.crunchbase.com/person/a-speers			
a-srinivasa-rao	665351	person	A	Srinivasa Rao	Unaffiliated	Tue Feb 05 06:32:29 UTC 2013	Thu Feb 07 17:36:08 UTC 2013						http://www.crunchbase.com/person/a-srinivasa-rao			
a-stringfellow	665352	person	A.	Stringfellow	Unaffiliated	Mon Nov 23 05:36:58 UTC 2009	Mon Nov 23 18:11:39 UTC 2009						http://www.crunchbase.com/person/a-stringfellow			
a-t-fouty	665353	person	A.T.	Fouty	Unaffiliated	Wed Jan 18 20:54:33 UTC 2012	Wed Dec 18 00:18:25 UTC 2013						http://www.crunchbase.com/person/a-t-fouty			
a-thomas-loy	665354	person	A.	Thomas Loy	Unaffiliated	Sat Jan 11 11:15:14 UTC 2014	Sat Jan 11 11:21:21 UTC 2014						http://www.crunchbase.com/person/a-thomas-loy			
a-thomas-stavros	665355	person	A.	Thomas Stavros	Unaffiliated	Thu Jun 27 11:25:37 UTC 2013	Thu Jun 27 11:25:37 UTC 2013						http://www.crunchbase.com/person/a-thomas-stavros			
a-timothy-godwin	665356	person	A.	Timothy Godwin	Unaffiliated	Wed Nov 20 10:47:48 UTC 2013	Wed Nov 20 10:52:58 UTC 2013						http://www.crunchbase.com/person/a-timothy-godwin			
a-tracy-hassett	665357	person	A.	Tracy Hassett	Unaffiliated	Sat Dec 14 06:53:30 UTC 2013	Sat Dec 14 06:55:35 UTC 2013						http://www.crunchbase.com/person/a-tracy-hassett			
a-traviss-corry	665358	person	A.	Traviss Corry	Aden Earth Inc.	Thu Feb 17 16:41:13 UTC 2011	Mon Sep 19 02:14:45 UTC 2011	atravisscorry	http://atravisscorry.com/rss	http://ATravissCorry.com		2	http://www.crunchbase.com/person/a-traviss-corry	http://ATravissCorry.com	10	1974
a-v-krishnan	665359	person	A.V.	Krishnan	Unaffiliated	Wed Nov 23 05:31:33 UTC 2011	Thu Nov 24 04:32:49 UTC 2011						http://www.crunchbase.com/person/a-v-krishnan			
a-v-shridhar	665360	person	A.V.	Shridhar	Unaffiliated	Tue Aug 26 06:37:16 UTC 2008	Fri Aug 29 14:22:42 UTC 2008						http://www.crunchbase.com/person/a-v-shridhar			
a-vask	665361	person	A	Vask	Unaffiliated	Wed Dec 15 17:48:47 UTC 2010	Thu Dec 16 08:15:41 UTC 2010	avask	http://www.a-vask.dk	http://www.a-vask.dk		12	http://www.crunchbase.com/person/a-vask	http://www.a-vask.dk	9	1978
a-vietch	665362	person	A.	Vietch	Unaffiliated	Mon Nov 23 05:36:58 UTC 2009	Mon Nov 23 18:11:39 UTC 2009						http://www.crunchbase.com/person/a-vietch			
a-wells-black-jr	665363	person	A	Wells Black Jr	Unaffiliated	Fri Jan 22 22:27:27 UTC 2010	Sat Jan 23 01:18:13 UTC 2010						http://www.crunchbase.com/person/a-wells-black-jr			
a-z	665364	person	A.	Z.	Unaffiliated	Fri Mar 01 08:27:11 UTC 2013	Mon Mar 04 20:38:29 UTC 2013						http://www.crunchbase.com/person/a-z			
aa-aa	665365	person	AA	AA	Unaffiliated	Mon Jan 20 16:07:13 UTC 2014	Tue Jan 21 06:23:24 UTC 2014						http://www.crunchbase.com/person/aa-aa			
aa-s	665366	person	aa	s	Unaffiliated	Tue Feb 19 18:33:14 UTC 2013	Fri Feb 22 23:05:46 UTC 2013						http://www.crunchbase.com/person/aa-s			
aaa-bbb	665368	person	Javier	de la Ossa	Tetuan Valley	Thu Nov 11 10:42:54 UTC 2010	Sat Dec 18 20:47:19 UTC 2010						http://www.crunchbase.com/person/aaa-bbb			
aabid-hussain	665369	person	Aabid	Hussain	Unaffiliated	Tue Sep 10 19:06:45 UTC 2013	Wed Sep 11 18:44:55 UTC 2013						http://www.crunchbase.com/person/aabid-hussain			
aadam-brown	665370	person	Aadam	Brown	Unaffiliated	Mon Aug 29 20:06:43 UTC 2011	Wed Aug 31 01:27:53 UTC 2011						http://www.crunchbase.com/person/aadam-brown			
aadarsh-agarwal	665371	person	Aadarsh	Agarwal	Unaffiliated	Mon Aug 12 21:36:23 UTC 2013	Mon Aug 12 22:01:35 UTC 2013						http://www.crunchbase.com/person/aadarsh-agarwal			
aadarsh-bohara	665372	person	Aadarsh	Bohara	Unaffiliated	Wed Dec 18 10:25:57 UTC 2013	Wed Dec 18 10:28:15 UTC 2013	anbohara					http://www.crunchbase.com/person/aadarsh-bohara			
aaden-halbert	665373	person	Aaden	Halbert	Tiinkk	Mon Sep 09 05:21:39 UTC 2013	Wed Sep 25 18:06:38 UTC 2013	AadenTiinkk				4	http://www.crunchbase.com/person/aaden-halbert		12	1987
aadesh-goyal	665374	person	Aadesh	Goyal	Unaffiliated	Wed Jan 01 10:51:38 UTC 2014	Fri Jan 03 06:48:35 UTC 2014						http://www.crunchbase.com/person/aadesh-goyal			
aadesh-jain	665375	person	Aadesh	Jain	Unaffiliated	Fri Oct 04 07:20:29 UTC 2013	Fri Oct 04 17:52:47 UTC 2013						http://www.crunchbase.com/person/aadesh-jain			
aalok-purohit	665408	person	Aalok	Purohit	Unaffiliated	Mon Jul 11 16:38:16 UTC 2011	Mon Jul 11 17:24:19 UTC 2011						http://www.crunchbase.com/person/aalok-purohit			
aalya-magsi	665409	person	Aalya	Magsi	Unaffiliated	Sat Aug 10 15:32:58 UTC 2013	Mon Aug 12 20:44:11 UTC 2013						http://www.crunchbase.com/person/aalya-magsi			
aalya-magsi-2	665410	person	Aalya	Magsi	Unaffiliated	Sat Aug 10 15:45:09 UTC 2013	Mon Aug 12 21:37:23 UTC 2013						http://www.crunchbase.com/person/aalya-magsi-2			
aamer-abbas	665411	person	Aamer	Abbas	Unaffiliated	Thu Jan 10 10:05:33 UTC 2013	Tue Jul 30 10:58:59 UTC 2013	aamerabbas					http://www.crunchbase.com/person/aamer-abbas	http://www.aamerabbas.com		
aamer-abdullah	665412	person	Aamer	Abdullah	Unaffiliated	Tue Jan 10 10:10:00 UTC 2012	Mon Oct 28 20:24:07 UTC 2013						http://www.crunchbase.com/person/aamer-abdullah			
aamer-hai	665413	person	Aamer	Hai	Unaffiliated	Fri May 04 10:07:45 UTC 2012	Sun May 06 07:06:52 UTC 2012						http://www.crunchbase.com/person/aamer-hai			
aamer-zaheer	665414	person	Aamer	Zaheer	Unaffiliated	Wed Jul 10 18:12:31 UTC 2013	Wed Jul 10 18:21:52 UTC 2013						http://www.crunchbase.com/person/aamer-zaheer	http://cvlab.lums.edu.pk/aamer-zaheer		
aamir-baig	665415	person	Aamir	Baig	Unaffiliated	Mon May 21 21:08:10 UTC 2012	Thu May 24 13:46:56 UTC 2012	baigaamir		http://blog.fillthecontainer.com		3	http://www.crunchbase.com/person/aamir-baig	http://www.fillthecontainer.com	27	1979
aamir-baig-2	665416	person	Aamir	Baig	Unaffiliated	Mon May 21 21:38:12 UTC 2012	Mon Oct 14 03:01:42 UTC 2013						http://www.crunchbase.com/person/aamir-baig-2			
aamir-butt	665417	person	Aamir	Butt	Unaffiliated	Fri Mar 07 12:21:51 UTC 2014	Fri Mar 07 12:46:58 UTC 2014						http://www.crunchbase.com/person/aamir-butt			
aamir-dallashe	665418	person	Aamir	Dallashe	Bakehila	Sat Aug 31 04:29:47 UTC 2013	Sat Aug 31 04:29:47 UTC 2013						http://www.crunchbase.com/person/aamir-dallashe			
