nodes	id	label	first_name	last_name	affiliation_name	created_at	updated_at	twitter_username	blog_feed_url	blog_url	alias_list	born_month	crunchbase_url	homepage_url	born_day	born_year
aalap-mahadevia	665405	person	Aalap	Mahadevia	Unaffiliated	Thu May 20 19:04:14 UTC 2010	Thu May 20 19:07:09 UTC 2010						http://www.crunchbase.com/person/aalap-mahadevia			
aaliyah-carroll	665406	person	Aaliyah	Carroll	Unaffiliated	Fri Jun 14 08:15:00 UTC 2013	Mon Jun 24 19:57:45 UTC 2013	healthqas		http://blogs.rediff.com/commonhealth/		8	http://www.crunchbase.com/person/aaliyah-carroll	http://www.healthqas.org	22	1988
aalok-jain	665407	person	Aalok	Jain	Unaffiliated	Tue Sep 24 06:46:18 UTC 2013	Thu Sep 26 08:32:12 UTC 2013						http://www.crunchbase.com/person/aalok-jain			
1-sarath-kumar-kumaraiah	665219	person	(1)	Sarath Kumar Kumaraiah	Unaffiliated	Sun Dec 22 20:38:37 UTC 2013	Tue Dec 24 05:56:25 UTC 2013						http://www.crunchbase.com/person/1-sarath-kumar-kumaraiah			
10-others	665220	person	10	Others	Unaffiliated	Tue Jan 10 17:47:25 UTC 2012	Thu Jan 12 03:50:32 UTC 2012						http://www.crunchbase.com/person/10-others			
1001-tattoos	665221	person	1001	tattoos	Unaffiliated	Mon Mar 25 05:10:24 UTC 2013	Mon Mar 25 05:10:26 UTC 2013						http://www.crunchbase.com/person/1001-tattoos	http://www.1001-tattoos.com		
10762-chestnut-avenue	665222	person	10762	CHESTNUT AVENUE	Unaffiliated	Wed Jan 29 11:24:18 UTC 2014	Wed Jan 29 11:24:18 UTC 2014						http://www.crunchbase.com/person/10762-chestnut-avenue			
12month-loans	665223	person	12month	loans	Unaffiliated	Mon Mar 18 05:48:39 UTC 2013	Mon Mar 18 05:48:42 UTC 2013	need12monthloan					http://www.crunchbase.com/person/12month-loans	http://www.need12monthloans.co.uk		
13-other-individuals	665224	person	13	Other Individuals	Unaffiliated	Wed Dec 28 17:24:50 UTC 2011	Thu Dec 29 06:18:21 UTC 2011						http://www.crunchbase.com/person/13-other-individuals			
14870-las-flores-lane	665225	person	14870	LAS FLORES LANE	Unaffiliated	Fri Aug 30 04:41:18 UTC 2013	Fri Aug 30 04:41:18 UTC 2013						http://www.crunchbase.com/person/14870-las-flores-lane			
1919-inc	665227	person	1919	inc	Unaffiliated	Tue Apr 10 11:32:56 UTC 2012	Thu Apr 12 23:25:48 UTC 2012	1919inc					http://www.crunchbase.com/person/1919-inc	http://www.1919inc.com		
1americans-view	665228	person	1Americans	View	Unaffiliated	Sun Apr 29 16:28:28 UTC 2012	Wed May 09 03:07:26 UTC 2012						http://www.crunchbase.com/person/1americans-view			
1st-admin	665229	person	Azeem	Aosaf	Professional Crew	Tue Oct 08 19:23:37 UTC 2013	Wed Oct 09 23:33:54 UTC 2013	azeemaosaf		http://professionalcrew.net		6	http://www.crunchbase.com/person/1st-admin	http://facebook.com/azeemaosaf	19	1992
1st-ceo	665230	person	1st	CEO	Unaffiliated	Tue Oct 08 19:23:37 UTC 2013	Tue Oct 08 22:16:15 UTC 2013						http://www.crunchbase.com/person/1st-ceo			
20-research-parkway	665231	person	20	RESEARCH PARKWAY	Unaffiliated	Thu Jan 30 11:48:05 UTC 2014	Thu Jan 30 11:48:05 UTC 2014						http://www.crunchbase.com/person/20-research-parkway			
