nodes	id	label	name	category_code	crunchbase_url	description	number_of_employees	created_at	updated_at	founded_day	alias_list	deadpooled_month	deadpooled_year	deadpooled_day	deadpooled_url	twitter_username	homepage_url	total_money_raised	blog_url	error	blog_feed_url	founded_month	email_address	founded_year
avangate-bv	665543	company																						
youblisher-com	665544	company																						
pressetrends-com	665545	company																						
produkte24-com	665546	company																						
who-sells-it-com	665547	company																						
store-locator-com	665548	company																						
golfshop-online	665549	company																						
ratepoint	665550	company																						
kaltura	665551	company																						
ambient-devices	665552	company																						
digitalsmiths	665553	company																						
memento	665554	company																						
veracode	665555	company																						
bit9	665556	company																						
optaros	665557	company																						
american-biomass	665558	company																						
woodpellets-com	665559	company																						
mashery	665560	company																						
energyhub	665561	company																						
mineraltree	665562	company																						
vaultive	665563	company																						
connotate	665564	company																						
urban-compass	665565	company																						
cloudhealth-technologies	665566	company																						
iora-health	665567	company																						
babyjunk	665760	company																						
the-muse	665761	company																						
hedgeye-risk-management	665762	company																						
qual-canal	665763	company																						
contaazul	665764	company																						
order-mapper	665765	company																						
loku	665766	company																						
whoapi	665767	company																						
veduca	665768	company																						
mytime	665769	company																						
virool	665770	company																						
bluefields	665771	company																						
payrollhero	665772	company																						
samba-ads	665773	company																						
circle-ci	665774	company																						
userfox	665775	company																						
experiment	665776	company																						
soldsie-inc	665777	company																						
contactually	665778	company																						
sproutkin	665779	company																						
yasabe	665780	company																						
scoutzie	665781	company																						
disruption-corp	665782	company																						
chewse	665783	company																						
lagoa	665784	company																						
tynker	665785	company																						
nitrous-io	665786	company																						
pict	665787	company																						
shakr-media	665788	company																						
pricebaba	665789	company																						
socialwire	665790	company																						
skipo	665791	company																						
versus-io	665792	company																						
canva	665793	company																						
skygiraffe	665794	company																						
relevvant	665795	company																						
centralmayoreo-com	665796	company																						
karma-2	665797	company																						
appyzoo	665798	company																						
app-io	665799	company																						
clubw-com	665800	company																						
mightytext	665801	company																						
brandcont	665802	company																						
hatch	665803	company																						
spinnakr	665804	company																						
internmatch	665805	company																						
rubberit	665806	company																						
barkbox	665807	company																						
wisepricer	665808	company																						
boatbound	665809	company																						
sunrise	665810	company																						
twitmusic	665811	company																						
adstage	665812	company																						
babylist	665813	company																						
launchbit	665814	company																						
storefront	665815	company																						
first-opinion	665816	company																						
stormpulse	665817	company																						
binpress	665818	company																						
greengar-studios	665819	company																						
figs	665820	company																						
intercom	665821	company																						
credii	665822	company																						
idealists	665823	company																						
privy-2	665824	company																						
whill	665825	company																						
artsicle	665826	company																						
audiodraft	665827	company																						
dakwak	665828	company																						
influitive	665829	company																						
floqq	665830	company																						
happy-inspector	665831	company																						
kartrocket	665832	company																						
school-admissions	665833	company																						
squarekey	665834	company																						
builderscloud	665835	company																						
runrun-it	665836	company																						
bustle	665837	company																						
cardinal-blue-software	665838	company																						
trusted-insight	665839	company																						
language-cloud	665840	company																						
tushky	665841	company																						
viki	665842	company																						
qraved	665843	company																						
blink-booking	665844	company																						
goldbely	665845	company																						
angellist	665846	company																						
formafina	665847	company																						
ninja-blocks	665848	company																						
le-tote	665849	company																						
hireart	665850	company																						
mattermark	665851	company																						
smart-bites	665852	company																						
supplyhog	665853	company																						
betterdoctor-inc	665854	company																						
the-daily-muse	665855	company																						
