nodes	id	label	name	category_code	crunchbase_url	description	number_of_employees	created_at	updated_at	founded_day	alias_list	deadpooled_month	deadpooled_year	deadpooled_day	deadpooled_url	twitter_username	homepage_url	total_money_raised	blog_url	error	blog_feed_url	founded_month	email_address	founded_year
code-for-america	666431	company																						
nortel-networks	666432	company																						
c42-engineering	666433	company																						
bessemer-venture-partners	666434	company																						
infosys-technologies-ltd	666435	company																						
sequoia-capital	666436	company																						
trustship	666437	company																						
boston-consulting-group	666438	company																						
robert-bosch-gmbh	666439	company																						
itc-limited	666440	company																						
gtechwebindia	666441	company																						
gigastorm	666442	company																						
flytenow	666443	company																						
learnstreet	666444	company																						
vicinitime	666445	company																						
flat-to	666446	company																						
haptik	666447	company																						
dataweave	666448	company																						
tookitaki	666449	company																						
flurry	666450	company																						
groupiest	666451	company																						
ernst-young	666452	company																						
sumzero	666453	company																						
vector-capital	666454	company																						
gerber-scientific	666455	company																						
20-20-technologies	666456	company																						
diamond-castle-holdings	666457	company																						
warburg-pincus	666458	company																						
the-blackstone-group	666459	company																						
social-catalyst	666460	company																						
litbloc	666461	company																						
pinster	666462	company																						
gopixel	666463	company																						
bronto-software	666464	company																						
bizeebee	666465	company																						
pogoseat	666466	company																						
mi-ventures	666467	company																						
quantumwave-capital	666468	company																						
eyedeus-labs	666469	company																						
bryght	666470	company																						
accelerace	666471	company																						
bakehila	666472	company																						
jerusalem-venture-partners	666473	company																						
